#ASTEX case using prescribed vertical grid, Nlev = 427 1 date07/01/09 00
height(m)   thl(K)     qt(kg/kg)       u(m/s)     v(m/s)     tke(m2/s2)     pres
      12.5000      268.748      1.663E-03      1.7846      0.9745      0.0254      1021.67
      37.5000      269.121      1.675E-03      -2.7022      0.0130      0.0244      1018.51
      62.5000      269.052      1.676E-03      2.1811      1.7525      0.0235      1015.36
      87.5000      268.648      1.712E-03      -2.4687      0.9628      0.0226      1012.22
      112.500      268.556      1.683E-03      -0.9079      -2.7471      0.0216      1009.08
      137.500      268.697      1.611E-03      1.3889      3.1049      0.0207      1005.94
      162.500      268.923      1.526E-03      -3.3434      -2.1478      0.0198      1002.81
      187.500      269.084      1.463E-03      -3.1923      -3.0422      0.0190      999.687
      212.500      270.635      8.938E-04      -2.5759      -3.5111      0.0181      996.565
      237.500      271.226      8.834E-04      -2.8632      -3.6734      0.0172      993.449
      262.500      271.747      8.829E-04      -3.1811      -3.7825      0.0164      990.337
      287.500      272.203      8.915E-04      -3.5279      -3.8337      0.0156      987.232
      312.500      272.596      9.083E-04      -3.8999      -3.8226      0.0148      984.131
      337.500      272.932      9.329E-04      -4.2914      -3.7453      0.0140      981.037
      362.500      273.212      9.649E-04      -4.6952      -3.5987      0.0132      977.948
      387.500      273.442      1.004E-03      -5.1024      -3.3809      0.0124      974.866
      412.500      273.625      1.049E-03      -5.5032      -3.0916      0.0117      971.789
      437.500      273.764      1.101E-03      -5.8872      -2.7318      0.0109      968.719
      462.500      273.864      1.158E-03      -6.2438      -2.3049      0.0102      965.656
      487.500      273.929      1.221E-03      -6.5626      -1.8157      0.0095      962.599
      512.500      273.961      1.287E-03      -6.8343      -1.2712      0.0088      959.549
      537.500      273.966      1.356E-03      -7.0506      -0.6801      0.0081      956.505
      562.500      273.947      1.428E-03      -7.2051      -0.0523      0.0075      953.469
      587.500      273.908      1.499E-03      -7.2933      0.6011      0.0069      950.440
      612.500      273.853      1.569E-03      -7.3130      1.2683      0.0062      947.418
      637.500      273.785      1.635E-03      -7.2646      1.9376      0.0056      944.403
      662.500      273.709      1.695E-03      -7.1505      2.5976      0.0051      941.396
      687.500      273.628      1.747E-03      -6.9757      3.2376      0.0045      938.397
      712.500      273.547      1.788E-03      -6.7469      3.8482      0.0040      935.406
      737.500      273.470      1.815E-03      -6.4729      4.4216      0.0035      932.422
      762.500      273.400      1.826E-03      -6.1634      4.9517      0.0030      929.447
      787.500      273.341      1.819E-03      -5.8295      5.4342      0.0025      926.480
      812.500      273.298      1.793E-03      -5.4824      5.8669      0.0021      923.521
      837.500      273.272      1.748E-03      -5.1316      6.2506      0.0017      920.571
      862.500      273.263      1.687E-03      -4.7843      6.5883      0.0013      917.630
      887.500      273.269      1.611E-03      -4.4462      6.8835      0.0010      914.697
      912.500      273.291      1.525E-03      -4.1227      7.1398      0.0007      911.772
      937.500      273.328      1.431E-03      -3.8179      7.3613      0.0004      908.856
      962.500      273.380      1.331E-03      -3.5356      7.5514      0.0002      905.948
